,Position,Job Type,Rate,Location,Recruiter,Reference,Description
438,Senior Interaction Designer,Permanent,34425.00 - 44050.00 Annual GBP,"London, UK",Department for International Trade,JS130699908/1625859246,"Our Digital, Data and Technology team develops and operates tools, services, and platforms such as great.gov.uk that enable the UK government to provide world'leading support to businesses in the UK and overseas. You'll get to constantly push boundaries in an environment free of heavy Legacy, driven by curiosity, social purpose, diversity of thought, entrepreneurship and the aspiration to offer an incredible experience to all our users. Find out more on our blog, Digital Trade. Job Description  Let us tell you a little bit about the role...  Senior Interaction Designers are key figures in our digital product teams. DIT's success in international trade depends on our understanding of exporters and investors and building services that meet their needs.  We are looking for Senior Interaction Designers to join our growing profession, so that we are able to deepen our user insight and become stronger advocates for people who need and use DIT's services.   Responsibilities  What we're looking for from you...   You are a confident and competent designer who,is able todevelop designs based on evidence of user needs and organisational outcomes. You can be trusted to make good decisions. You can recognise when to ask for further guidance and support. You know how to contribute to the development of design concepts Successful candidates will have experience of interpret evidence-based research and incorporate this into your work.   You will be an experienced Senior Interaction Designer who can: Accountabilities:  Create user-centred design patterns. Understand user needs and how to design services that meet them. Create and iterate prototypes to test and communicate ideas.  Work with senior designers, user researchers and Front End developers to turn concepts into user-centred design and explain design decisions and how they were impacted by user research. Welcome the constructive criticism of your work and be able to constructively review the work of others.  Ensure that design work is consistent, both internally and with the rest of GOV.UK.  Contribute to the wider community of designers in the department and government.  Support and mentor less experienced colleagues in your profession.  Essential Skills and Experience: You'll have demonstrable skills and experience of:  Championing user research and making decisions that meet user needs.  Using?variety?methods of prototyping.  Interpreting the needs of technical and business stakeholders and managing their expectations.  Generating multiple solutions to a problem and testing them.   Desirable Skills and Experience: This isn't necessary but would be ideal if you:  You have experience of working in agile, including an awareness of agile tools and how to use them. You can contribute to the work of others and have the ability to motivate teams.   How to Apply Click APPLY NOW for detailed information and guidance on how we sift and interview applications at Department for International Trade, to help you ace your Civil Service interview. The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria. Click through to apply and find out more. Technical Skills . We'll assess you against these technical skills during the selection process:  Agile working Communication skills Community collaboration DDaT standards outside your discipline Digital perspective Evidence and context-based design Experience of working within constraints Facilitating decisions and risks Leadership and guidance Prototyping Strategic thinking User focus   Further Information  Find out about our benefits, application process and practical details like our office locations on the things you need to know page. Remember to check out our blog, Digital Trade. Closing Date for Apps: 01/07/2022 at 12pm"
439,Senior Content Designer,Permanent,31804.00 - 38600.00 Annual GBP,"London, UK",Department for International Trade,JS130218962/1623010827,"Our Digital, Data and Technology team develops and operates tools, services, and platforms such as great.gov.uk that enable the UK government to provide world leading support to businesses in the UK and overseas. You'll get to constantly push boundaries in an environment free of heavy Legacy, driven by curiosity, social purpose, diversity of thought, entrepreneurship and the aspiration to offer an incredible experience to all our users. Find out more on our blog, Digital Trade. Job Description  Let us tell you a little bit about the role   Let us tell you a little bit about the role  A senior content designer is an expert practitioner who develops content strategy and solutions for large-scale problems and high-profile events. At this level you will:  take responsibility for content quality, manage small teams and mentor content colleagues write and map user stories review the work of others to assure quality lead on cross-government content projects engage with and contribute to the cross-government content community  You'll work in a Matrix management environment and collaborate with colleagues in service design, interaction design, data, monitoring and evaluation, user research, operations, policy, and marketing.  You are keen to explore how new technologies can help us provide content more effectively and efficiently.  You make sure content design forms part of service design and digital transformation, working on GOV.UK, great.gov.uk public-facing digital services, and important internal tools.  For context, DIT is content-centric by nature because getting the right information to our users at the right time enables them to trade internationally. Content design plays a key role in the promotion of both international trade and investment into the UK.  Responsibilities  you'll be expected to:   use evidence to identify users and understand their needs to write and map user stories  create, update and review content in end-to-end user journeys based on user feedback, data, and research  build relationships with stakeholders to understand business goals while focusing on user needs  help colleagues and stakeholders understand what content design is, why it's important and how to work with content designers  collaborate with user researchers and interaction designers to solve complex design problems  act as an advocate of content standards in your work and when coaching others manage and mentor other content designers  lead on cross-government content projects  Essential Skills and Experience: You'll have demonstrable skills and experience of:  working in agile building and creating concepts and prototyping making data-informed decisions managing stakeholder relationships strategic thinking making the best experience for users writing and editing  How to Apply Click APPLY NOW for detailed information on guidance on how we sift and interview applications at DIT, to help you ace your Civil Service interview. The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria. Click through to apply and find out more. Technical Skills . We'll assess you against these technical skills during the selection process:  Agile working Data-informed decision making Stakeholder relationship management Strategic thinking User centred content design Writing and editing   Further Information  Find out about our benefits, application process and practical details like our office locations on the things you need to know page. Remember to check out our blog, Digital Trade. Closing date for applications: 20th of June at 12:00pm"
440,IT Operations Engineer,Permanent,31804.00 - 38600.00 Annual GBP,"London, UK",Department for International Trade,JS3100450/1622987856,"Our Digital, Data and Technology team develops and operates tools, services, and platforms such as great.gov.uk that enable the UK government to provide world leading support to businesses in the UK and overseas.  You'll get to constantly push boundaries in an environment free of heavy Legacy, driven by curiosity, social purpose, diversity of thought, entrepreneurship and the aspiration to offer an incredible experience to all our users. Find out more on our blog, Digital Trade.   Let us tell you a little bit about the role  As an IT Operations Engineer, you will be  Joining our growing team within the Digital, Data and Technology function, helping build a new level of technical support as the organisation grows to meet the evolving world. Primarily you will be responsible for supporting the day-to-day operations of the IT Operations function, ensuring that the various services and team members in the Old Admiralty Building are supported as necessary. You will apply your skills and knowledge to ensure that we deliver superior and supportive services to all users. You may at times be asked to work outside the core 9 to 5 day depending on support requirements. You will have enthusiasm for helping staff and colleagues and will be able to provide support to users and the rest of the team while following overall strategy and directives. To realise this, you will take a proactive approach to developing your skills and sharing them with the IT Operations Team  What we're looking for from you  You will be an experienced IT professional who can:  Deliver a high level of service and continuity Deal with incidents and escalations as appropriate Work with the organisation and our partners Troubleshoot infrastructure, IOS, WINTEL and audio-visual issues Investigate and perform evaluations and testing of new and existing solutions Assist with site surveys and documents current site configuration and user requirements Support the day-to-day operations of the audio-visual function, ensuring that quality of service and demands are met Support staff with organisational wide Teams and WebEx events, liaise and arrange testing with counterparts (internal and external) Maintain the correct processes and documentation Assist the IT Operations team when needed with IT related tasks Maintain prompt and clear lines of communication with all parties Be able to assume responsibility and work autonomously in a professional manner Engage in cross team and departmental collaboration Take responsibility for your actions and be active in delivering a superior service Ensure that you listen to teammates and capitalise on shared knowledge Ensure that proper process is followed   Essential Skills and Experience  You'll have demonstrable skills and experience of:  Logical and creative approaches to problem-solving, ensuring that the most appropriate actions are taken The ability to coordinate with team members to resolve problems as they occur and reduce the chance of them happening again in future Effective verbal and written communication skills, to interpret requirements and present findings  Strong experience of working with WINTEL, iOS, networking, infrastructure, and audio-visual technologies (WebEx, Teams) and applications, end user computing and Microsoft technologies  Working with stakeholders to gather requirements and deliver solutions that meets the user's needs  A track record of supporting high profile users   Click APPLY NOW for detailed information on guidance on how we sift and interview applications at DIT, to help you ace your Civil Service interview. The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria. Click above to apply and find out more.  We'll assess you against these technical skills during the selection process:  Asset and configuration management Continual service improvement Ownership and initiative Service focus Service reporting Technical understanding User focus   Further Information  Find out about our benefits, application process and practical details like our office locations on the things you need to know page. Remember to check out our blog, Digital Trade . Closing Date for Apps: Friday 24 th June 2022 at 12 noon"
441,IT Operations Associate Engineer,Permanent,26245.00 - 30100.00 Annual GBP,"London, UK",Department for International Trade,JS130218940/1623010813,"Our Digital, Data and Technology team develops and operates tools, services, and platforms such as great.gov.uk that enable the UK government to provide world leading support to businesses in the UK and overseas. You'll get to constantly push boundaries in an environment free of heavy Legacy, driven by curiosity, social purpose, diversity of thought, entrepreneurship and the aspiration to offer an incredible experience to all our users. Find out more on our blog, Digital Trade.  Let us tell you a little bit about the role  As an IT Operations Associate Engineer, you will be:  Joining our growing team within the Digital, Data and Technology function, helping build a new level of technical support to enable providing a superior service to our staff as the organisation grows to meet the evolving world.  Primarily you will be responsible for supporting the day-to-day operations of the IT Operations team, ensuring that the various services and team members are supported as necessary. You'll apply your skills and knowledge ensuring that we deliver a superior service to all staff. You will be a key part of our group supporting our users, and you may at times be asked to work outside of the core 9 to 5 day.  You'll have enthusiasm for helping staff and colleagues, and you will be expected to provide support to your fellow team members and users while following the strategy of the overall team. To realise this, you will take a proactive approach to developing your skills and sharing them with the IT Operations Team and its partners. You will be expected to actively contribute to continually improving the services we offer.   Responsibilities   What we're looking for from you  You will be an experienced IT professional who can:   Deliver a high level of service and continuity  Assist with incidents and escalations as appropriate  Work with the organisation and our supply partners    Troubleshoot infrastructure, IOS, WINTEL and audio-visual issues  Assist with site surveys and documents current site configuration and user requirements  Support the day-to-day operations of the audio-visual function, ensuring that quality of service and demands are met  Support staff with organisational wide Teams and WebEx events, liaise and arrange testing with counterparts (internal and external)  Maintain the correct processes and documentation    Assist the IT Operations team when needed with IT related tasks  Maintain prompt and clear lines of communication with all parties  Be able to a work autonomously in a professional manner  Be involved in cross team and departmental collaboration  Take responsibility for your actions and be active delivering a superior service    Ensure that you listen to teammates and capitalise on shared knowledge  Ensure that proper process is followed    Essential Skills and Experience  You'll have demonstrable skills and experience of:   Experience supporting IT users Using both logical and creative approaches to problem-solving, ensuring that the most appropriate actions are taken The ability to coordinate with team members to resolve problems as they occur and reduce the chance of them happening again in future Effective verbal and written communication skills, to interpret requirements and present findings Experience of working with WINTEL, iOS and Microsoft technologies Working with stakeholders to gather requirements and deliver solutions that meets user needs A track record of supporting users   Click APPLY NOW for detailed information on guidance on how we sift and interview applications at DIT, to help you ace your Civil Service interview. The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria. Click above to apply and find out more.  We'll assess you against these technical skills during the selection process:  Incident management Ownership and initiative Problem management Service reporting User focus   Further Information  Find out about our benefits, application process and practical details like our office locations on the things you need to know page. Remember to check out our blog, Digital Trade. Closing Date for Apps: Friday 24 th June 2022 at 12 noon"
442,IT Operations Associate Engineer,Permanent,26245.00 - 30100.00 Annual GBP,"London, UK",Department for International Trade,JS3100453/1623010818,"Our Digital, Data and Technology team develops and operates tools, services, and platforms such as great.gov.uk that enable the UK government to provide world leading support to businesses in the UK and overseas. You'll get to constantly push boundaries in an environment free of heavy Legacy, driven by curiosity, social purpose, diversity of thought, entrepreneurship and the aspiration to offer an incredible experience to all our users. Find out more on our blog, Digital Trade.  Let us tell you a little bit about the role  As an IT Operations Associate Engineer, you will be:  Joining our growing team within the Digital, Data and Technology function, helping build a new level of technical support to enable providing a superior service to our staff as the organisation grows to meet the evolving world.  Primarily you will be responsible for supporting the day-to-day operations of the IT Operations team, ensuring that the various services and team members are supported as necessary. You'll apply your skills and knowledge ensuring that we deliver a superior service to all staff. You will be a key part of our group supporting our users, and you may at times be asked to work outside of the core 9 to 5 day.  You'll have enthusiasm for helping staff and colleagues, and you will be expected to provide support to your fellow team members and users while following the strategy of the overall team. To realise this, you will take a proactive approach to developing your skills and sharing them with the IT Operations Team and its partners. You will be expected to actively contribute to continually improving the services we offer.   Responsibilities   What we're looking for from you  You will be an experienced IT professional who can:   Deliver a high level of service and continuity  Assist with incidents and escalations as appropriate  Work with the organisation and our supply partners    Troubleshoot infrastructure, IOS, WINTEL and audio-visual issues  Assist with site surveys and documents current site configuration and user requirements  Support the day-to-day operations of the audio-visual function, ensuring that quality of service and demands are met  Support staff with organisational wide Teams and WebEx events, liaise and arrange testing with counterparts (internal and external)  Maintain the correct processes and documentation    Assist the IT Operations team when needed with IT related tasks  Maintain prompt and clear lines of communication with all parties  Be able to a work autonomously in a professional manner  Be involved in cross team and departmental collaboration  Take responsibility for your actions and be active delivering a superior service    Ensure that you listen to teammates and capitalise on shared knowledge  Ensure that proper process is followed    Essential Skills and Experience  You'll have demonstrable skills and experience of:   Experience supporting IT users Using both logical and creative approaches to problem-solving, ensuring that the most appropriate actions are taken The ability to coordinate with team members to resolve problems as they occur and reduce the chance of them happening again in future Effective verbal and written communication skills, to interpret requirements and present findings Experience of working with WINTEL, iOS and Microsoft technologies Working with stakeholders to gather requirements and deliver solutions that meets user needs A track record of supporting users   Click APPLY NOW for detailed information on guidance on how we sift and interview applications at DIT, to help you ace your Civil Service interview. The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria. Click above to apply and find out more.  We'll assess you against these technical skills during the selection process:  Incident management Ownership and initiative Problem management Service reporting User focus   Further Information  Find out about our benefits, application process and practical details like our office locations on the things you need to know page. Remember to check out our blog, Digital Trade. Closing Date for Apps: Friday 24 th June 2022 at 12 noon"
443,IT Operations Engineer,Permanent,31804.00 - 38600.00 Annual GBP,"London, UK",Department for International Trade,JS130218912/1622987893,"Our Digital, Data and Technology team develops and operates tools, services, and platforms such as great.gov.uk that enable the UK government to provide world leading support to businesses in the UK and overseas.  You'll get to constantly push boundaries in an environment free of heavy Legacy, driven by curiosity, social purpose, diversity of thought, entrepreneurship and the aspiration to offer an incredible experience to all our users. Find out more on our blog, Digital Trade.   Let us tell you a little bit about the role  As an IT Operations Engineer, you will be  Joining our growing team within the Digital, Data and Technology function, helping build a new level of technical support as the organisation grows to meet the evolving world. Primarily you will be responsible for supporting the day-to-day operations of the IT Operations function, ensuring that the various services and team members in the Old Admiralty Building are supported as necessary. You will apply your skills and knowledge to ensure that we deliver superior and supportive services to all users. You may at times be asked to work outside the core 9 to 5 day depending on support requirements. You will have enthusiasm for helping staff and colleagues and will be able to provide support to users and the rest of the team while following overall strategy and directives. To realise this, you will take a proactive approach to developing your skills and sharing them with the IT Operations Team  What we're looking for from you  You will be an experienced IT professional who can:  Deliver a high level of service and continuity Deal with incidents and escalations as appropriate Work with the organisation and our partners Troubleshoot infrastructure, IOS, WINTEL and audio-visual issues Investigate and perform evaluations and testing of new and existing solutions Assist with site surveys and documents current site configuration and user requirements Support the day-to-day operations of the audio-visual function, ensuring that quality of service and demands are met Support staff with organisational wide Teams and WebEx events, liaise and arrange testing with counterparts (internal and external) Maintain the correct processes and documentation Assist the IT Operations team when needed with IT related tasks Maintain prompt and clear lines of communication with all parties Be able to assume responsibility and work autonomously in a professional manner Engage in cross team and departmental collaboration Take responsibility for your actions and be active in delivering a superior service Ensure that you listen to teammates and capitalise on shared knowledge Ensure that proper process is followed   Essential Skills and Experience  You'll have demonstrable skills and experience of:  Logical and creative approaches to problem-solving, ensuring that the most appropriate actions are taken The ability to coordinate with team members to resolve problems as they occur and reduce the chance of them happening again in future Effective verbal and written communication skills, to interpret requirements and present findings  Strong experience of working with WINTEL, iOS, networking, infrastructure, and audio-visual technologies (WebEx, Teams) and applications, end user computing and Microsoft technologies  Working with stakeholders to gather requirements and deliver solutions that meets the user's needs  A track record of supporting high profile users   Click APPLY NOW for detailed information on guidance on how we sift and interview applications at DIT, to help you ace your Civil Service interview. The Department for International Trade embraces and values diversity in all forms. We welcome and pride ourselves on the positive impact diversity has on the work we do, and we promote equality of opportunity throughout the organisation. As such, we run a Disability Confident Scheme (DCS) for candidates with disabilities who meet the minimum selection criteria. Click above to apply and find out more.  We'll assess you against these technical skills during the selection process:  Asset and configuration management Continual service improvement Ownership and initiative Service focus Service reporting Technical understanding User focus   Further Information  Find out about our benefits, application process and practical details like our office locations on the things you need to know page. Remember to check out our blog, Digital Trade . Closing Date for Apps: Friday 24 th June 2022 at 12 noon"
444,Business Analyst DW(DataWaehouse),Permanent,£55k - £60k per annum,"Oxfordshire, UK",Randstad Technologies,JS-PR-809020,"Business Analyst DW (Data Warehouse) - £55,000 - £60,000I have a brand new opportunity for a Business Analyst DW (Data Warehouse) to join my well established client on a permanent basis. With an outstanding turnover and big plans to improve their technology footprint, this is a great opportunity to join them now.In this role, you would need to gather, understand and develop requirements and produce high quality requirements documentation (such as BRD, User Stories, Use Cases and Acceptance Criteria). Work closely with the Solutions, Development and Testing teams throughout the project life cycle to ensure that the requirements (functional and non-functional) are understood and development is alignedThe role will be hybrid but flexible with 2 days onsite in Oxfordshire and 3 days remote. My client is paying up from £55,000 to £60,000 per annum.Essential Skills: Minimum 3-5 years' experience in business analysisExperience of structured methodologies such as TDD, Agile, and WaterfallConfidence to facilitate Workshops/deliver Training/hold Road ShowsDesirable Skills:Formal business analysis qualifications, such as BCS diploma in Business Analysis or IIBA CCBA or CBAP CertifiedExperience of projects involving the integration of workplace technologies such as Salesforce, Oracle Financials, SAP SuccessFactors, MRI Software, Planon, and Microsoft BI stack.If you think this role is for you and want to find out more, please apply here or send your up to date CV to (see below) Randstad Technologies Ltd is a leading specialist recruitment business for the IT industry. Please note that due to a high level of applications, we can only respond to applicants whose skills & qualifications are suitable for this position. No terminology in this advert is intended to discriminate against any of the protected characteristics that fall under the Equality Act 2010. For the purposes of the Conduct Regulations 2003, when advertising permanent vacancies we are acting as an Employment Agency, and when advertising temporary/contract vacancies we are acting as an Employment Business."
445,Information Security Architect,Contract,£550 - 600 per Day,"Sheffield, South Yorkshire, England, UK",The Bridge Ltd,JS3353SPN,"Information Security Architect (data) - Azure - Outside IR35 - Remote - £600p/d This is a great opportunity to work as an Information Security Architect in the financial industry. This role requires experience working with Data.Key skill and experience for this Information Security Architect: AzureExperience working with DataSecurity Architect experienceNistData Warehousing If you do have the relevant experience for this permanent Information Security Architect position, Please do apply."
446,Finance Business Systems Analyst,Permanent,"£55k - £70k per annum + Pension, bonus","London, UK",Hiscox,JS-PCK498-34600,"Finance Business Systems & Data Governance Analyst London based with Hybrid workingAs our Finance Business Systems & Data Governance Analyst you'll be an Oracle expert who thrives on change and are driven by creating and helping to implement best in class functions. We have a lot of change here at Hiscox but it's 'good' change. The rate at which our business has grown and evolved over the last 5 years is one of the main drivers for us transforming our Finance world. We take a lot of pride in what we do at Hiscox and our sights are always set on achieving the best. If you are the same, this role could be a good match.  You will be reporting to the Head of FBSS within our Group Finance Team (covering Oracle, GL, ARCS, EPBCS, EDMCS and PCMCS) and will play a key part in our new central Centre of Excellence team supporting the embedding and operation of the Oracle platform and associated infrastructure. This is a new business team who work closely with its IT counterparts in ensuring the efficient and effective running of the platform, upgrades and changes are prioritised and delivered and new developments are implemented. As an integral part of the team you will help maintain the Finance infrastructure, open/close ledgers, design and publish new reports, add cost centres among, as well as providing support and training to finance users. The other main focus of this role is ensuring we maintain and improve on key stakeholder engagement delivering a ""people first"" customer service and to challenge the status quo. Key ResponsibilitiesDevelop, implement, maintain, support and enhance Oracle ERP applications.Deliver end user training and provide extensive hands-on user support.Gathering requirements from users and detailing both process and technical requirements to translate end-user requirements and into finished and working Oracle Applications Design.Create, maintain, and manage documentation for all Oracle Implementation, support initiatives and change requests.Support the management of Oracle tools in the Finance function; including form updates, UAT, process development and documentation, standard report development, chart of account maintenance, etc.Support the Finance data control through EDMCS and related Finance applications from a systems perspective.Perform data cleansing and data auditing as necessary to ensure data quality.Undertaking a central role in data process and control set-up activities across the Group, in accordance with the data governance framework and associated policies.Responsible for ongoing operations related to regulatory data quality processes, associated reporting and regular compliance reviews.Responsible for risk and impact assessments working with data and process owners on the data deficiencies and their resolutions.Ownership of the Group Data Issues Log.Collating Data Quality issues and investigation from a Group perspective.Communicating changes in business unit processes to all parties affected and establishing any potential impact on data quality.Working with Hiscox business teams and Data Suppliers and Consumers to continually review the effectiveness of controls and identify opportunities for their improvement.What you'll bring;Experience as a Finance Systems Administrator/Finance Systems Expert.Experience as a user of Oracle & Hyperion Products.Technical expertise in Oracle modules including General Ledger, Sub-Ledgers, Consolidation, Planning, Accounts Payable, Fixed Assets.Experience in data quality, controls and processes; translation of overarching principles into pragmatic business solutions at a corporate level.Good knowledge of regulatory data governance requirements.Experience of accessing data in a relational database management system.Troubleshooting skills and ability to coordinate with partner IT and Finance teams.Diversity and Working PatternsAt Hiscox we care about our people. We hire the best people for the job and we're committed to diversity and creating a truly inclusive culture, which we believe drives success. We have also learned over the past 2 years that working life doesn't always have to be in the office, and now it is safe to do so we have introduced hybrid working to encourage a healthy work life balance. This hybrid working model is set by the team rather than the business to enable you to manage your own personal work-life balance. We see it as the best of both worlds; structure and sociability on one hand, and independence and flexibility on the other."
447,Programme Manager,Contract,£650-800 per Day,"London (City), UK",Ashridge Executive Search,JSPM/FIN/LOND,"Programme Manager, Fintech, Data Centre Migration, Azure, City of London, £650-£800 per day, Outside IR35 Our Fintech client is a very innovative Fintech business based in the City of London and is looking to recruit a Programme Manager to lead a data centre migration programme. The client has a strong commitment towards creating an inclusive and diverse working environment, with the business actively encouraging diversity and enabling all people to be individuals as well as team players. Additionally, the client has a clear statement towards flexible working, adopting a 'hybrid' approach of mixed work from home/work from the office. The programme is centred around a Data Centre Migration and is expected to probably last for 9-12 months and is part of a wider scope of work in support of the de-coupling from the current private equity investor and restructuring of ownership of the business as the business continues to grow in both UK and European markets, offering banking and fintech services aimed at small businesses and tradespeople. The incoming Programme Manager must have experience of managing enterprise wide programmes, ideally data centre migrations or other similar cloud migrations as either a Programme Manager or a Project Manager.  Experience as a Programme Manager or Project Manager with Azure, Office365 or other cloud/SaaS solutions would be helpful The Programme Manager would ideally have experience of Cloud service delivery models, SaaS, PaaS, IaaS etc. Additionally the programme needs to be delivered in an Agile manner, with the Programme Manager being resourceful, able to work with minimal supervision, able to work across work streams as necessary and able to communicate at the highest levels with stakeholders, including users, executives and investors in the business. The Programme Manager will be experienced in assembling programmes and programme teams, including PMO set up and the recruitment of PM teams. To apply for the role, please send in your CV for immediate consideration. We aim to contact candidates within 3 days if there is interest in moving forward. Ashridge Executive Search is acting as a recruitment agency for the recruitment of this contract Programme Manager role."
448,Graduate Software Engineer,Permanent,£25k,"Northampton, Northamptonshire, UK",Teams Network Ltd,JS1633878649,"We are a data driven engineering company based in Northamptonshire and looking to recruit a graduate software developer to work within our core development team. This team is currently made up of eight multidisciplinary developers, engineers and IT specialists, and so, within this role you will be expected to undertake a broad range of tasks including:Implementing new Front End featuresCreating new APIsImplementing new CFD workflowsProducing testing and user documentationReporting progress regularly to your team leaderWe're based in our brand new office in the Northamptonshire countryside. Easily commutable from Warwick/Leamington Spa, Banbury and Daventry.Our graduate salary is around £25k depending on experience and benefits include 25-days annual leave plus Bank Holidays and a company pension scheme. What we are looking for: Above all things, we value logical thought, motivation and an eagerness to learn. As such, we're not necessarily expecting you to have development experience, rather the willingness and aptitude to evolve into a Full Stack Developer. Complete training will be provided in our core software stack (Angular and Python) and more generally in Linux, HPC and Computational Fluid Dynamics as required.Our minimum requirements are:At least a 2.1 degree (or equivalent) in Computer Science, Engineering or PhysicsAn A grade or higher in maths at A-levelThe right to work in the UKDesirable (but not essential) experience includes:Software development especially with Angular or PythonExperience/awareness of Computational Fluid DynamicsUse of version control, particularly gitWorking in a Linux environment"
449,Project Manager- Sheffield/Home/EU,Permanent,£40k - £50k per annum + please see job description,"Sheffield, South Yorkshire , UK",Damia Group LTD,JS-33427,"*PROJECT MANAGER- ELECTRICAL AND DATA CENTRE/BUILDING SERVICES BIAS*Our client is looking for a project manager on a Full time basis in Sheffield and EU travelThe role:The role entails supporting multiple teams updating Data centre ILA sites in Europe, with each site taking approximately 9-10 days based on a 2-man team.The refresh work will consist of installing:Eltek DC racksLVATSLightingPaxton access controlFire alarmsLighting protectionCCTVAlarm monitoring via DantelBattery TestingGeneral tidy The engineer requirements include onsite and remote configuration support, design change, variations etc.  The role will require the person to work out of the Sheffield office and travel to EU sites. Benefits:UK wide, time split between home, Office, and customer sites40-50k per year, Negotiable depending on experienceCompany car allowance or Van Company pension scheme25 days holiday plus Bank holidaysDamia Group Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept our Data Protection Policy which can be found on our website.Damia Group is acting as an Employment Agency in relation to this vacancy."
450,EDI Analyst,Contract,£350 - £400 per Day,"London, UK",Talent International,JS-BBBH30511,EDI Analyst | EDI Specialist | Electronic Data Interchange Outside IR35//Fully Remote6 Month Contract The RoleMy client is a Global Retailer looking for an EDI Analyst on a 6 Month Contract. This role is to help support and drive new platform integration alongside maintenance and troubleshooting of existing connections. You will contribute to identifying functional and technical requirements to deliver new application functionality based on business needs. You will be exposed to a wide and challenging range of business issues through regular engagement with key stakeholders across management and customer.Key Tools SAPMulesoft APIOpentextKey Skills & ExperienceGood hands-on EDI skillsRetail integrationUsed to dealing with business users and customerUnderstanding of Middleware communicationPerforming structured process and data analysisDrafting solutions to provide new functionality in existing application portfolio.Identifying performance efficiency areas and proposing fixesDefining system and user accept testing cases and approachPost implementation support and system enhancementsSupport & maintain existing EDI Maps/Partners
